Datetime,Open,High,Low,Close,Volume,IsGap
2012-10-22 00:00:00-04:00,114.81,115.23,114.12,115.02,125578600,False
2012-10-23 00:00:00-04:00,113.78,113.94,112.95,113.43,192056300,False
2012-10-24 00:00:00-04:00,113.84,113.97,112.93,113.11,120179400,False
2012-10-25 00:00:00-04:00,113.91,114.12,112.74,113.43,134457400,False
2012-10-26 00:00:00-04:00,113.33,113.76,112.6,113.37,146023500,False
2012-10-31 00:00:00-04:00,113.77,113.92,112.83,113.37,103438500,False
2012-11-01 00:00:00-04:00,113.61,114.7,113.51,114.56,100995600,False
2012-11-02 00:00:00-04:00,115.24,115.27,113.42,113.54,137702200,False
2012-11-05 00:00:00-05:00,113.37,114.03,113.03,113.77,98378500,False
2012-11-06 00:00:00-05:00,114.12,115.11,114.0,114.66,107068100,False
2012-11-07 00:00:00-05:00,113.62,113.63,111.53,112.06,264304500,False
2012-11-08 00:00:00-05:00,112.05,112.62,110.63,110.72,181517300,False
2012-11-09 00:00:00-05:00,110.38,111.84,110.32,110.81,201055300,False
2012-11-12 00:00:00-05:00,111.16,111.33,110.65,110.9,97677500,False
2012-11-13 00:00:00-05:00,110.31,111.69,110.17,110.51,123018300,False
2012-11-14 00:00:00-05:00,110.85,111.03,108.77,109.02,191505000,False
2012-11-15 00:00:00-05:00,109.06,109.47,108.42,108.84,178128400,False
2012-11-16 00:00:00-05:00,109.0,109.59,108.04,109.38,239483900,False
2012-11-19 00:00:00-05:00,110.6,111.61,109.41,111.59,151495800,False
2012-11-20 00:00:00-05:00,111.41,111.82,110.75,111.64,119807400,False
2012-11-21 00:00:00-05:00,111.73,111.94,111.51,111.85,81710800,False
